inventory_key,rental_rate,film_id
359,0.99,79
360,0.99,79
361,0.99,79
362,0.99,79
363,0.99,79
364,2.99,80
365,2.99,80
366,2.99,80
367,2.99,80
368,4.99,81
369,4.99,81
370,4.99,81
371,4.99,81
372,0.99,82
373,0.99,82
374,2.99,83
375,2.99,83
376,2.99,83
377,2.99,83
378,2.99,83
379,4.99,84
380,4.99,84
381,4.99,84
382,4.99,84
383,0.99,85
384,0.99,85
385,0.99,85
386,0.99,85
387,4.99,86
388,4.99,86
389,4.99,86
390,4.99,86
391,4.99,86
392,4.99,86
393,4.99,86
394,4.99,86
395,4.99,88
396,4.99,88
397,4.99,88
398,4.99,88
399,0.99,89
400,0.99,89
401,0.99,89
402,0.99,89
403,0.99,89
404,0.99,89
405,0.99,90
406,0.99,90
407,0.99,90
408,0.99,90
409,0.99,90
410,0.99,90
411,0.99,91
412,0.99,91
413,0.99,91
414,0.99,91
415,0.99,91
416,0.99,91
417,0.99,91
418,0.99,91
419,4.99,92
420,4.99,92
421,4.99,92
422,4.99,92
423,4.99,93
424,4.99,93
425,4.99,93
426,2.99,94
427,2.99,94
428,4.99,95
429,4.99,95
430,4.99,95
431,4.99,95
432,4.99,95
433,2.99,96
434,2.99,96
435,2.99,96
436,0.99,97
437,0.99,97
438,0.99,97
439,0.99,97
440,0.99,97
441,0.99,97
442,4.99,98
443,4.99,98
444,4.99,98
445,2.99,99
446,2.99,99
447,2.99,99
448,2.99,99
449,2.99,99
450,2.99,99
451,4.99,100
452,4.99,100
453,4.99,100
454,4.99,100
455,4.99,100
456,4.99,100
457,0.99,101
458,0.99,101
459,0.99,101
460,0.99,101
461,0.99,101
462,0.99,101
463,4.99,102
464,4.99,102
465,4.99,103
466,4.99,103
467,4.99,103
468,4.99,103
469,4.99,103
470,4.99,103
471,4.99,103
472,4.99,103
473,2.99,104
474,2.99,104
475,2.99,104
476,0.99,105
477,0.99,105
478,0.99,105
479,0.99,105
480,0.99,105
481,2.99,106
482,2.99,106
483,2.99,107
484,2.99,107
485,0.99,109
486,0.99,109
487,0.99,109
488,0.99,109
489,0.99,109
490,0.99,109
491,0.99,109
492,0.99,109
493,0.99,110
494,0.99,110
495,0.99,110
496,0.99,110
497,0.99,111
498,0.99,111
499,0.99,111
500,0.99,111
501,4.99,112
502,4.99,112
503,4.99,112
504,4.99,112
505,4.99,112
506,4.99,112
507,4.99,112
508,4.99,113
509,4.99,113
510,4.99,113
511,4.99,113
512,0.99,114
513,0.99,114
514,0.99,114
515,0.99,114
516,0.99,114
517,0.99,114
518,0.99,114
519,2.99,115
520,2.99,115
521,2.99,115
522,2.99,115
523,2.99,115
524,2.99,115
525,2.99,115
526,2.99,116
527,2.99,116
528,2.99,116
529,2.99,116
530,2.99,116
531,2.99,116
532,4.99,117
533,4.99,117
534,4.99,117
535,4.99,117
536,4.99,117
537,4.99,117
538,0.99,118
539,0.99,118
540,0.99,118
541,0.99,118
542,0.99,118
543,0.99,118
544,0.99,119
545,0.99,119
546,0.99,119
547,0.99,119
548,0.99,119
549,0.99,119
550,0.99,119
551,4.99,120
552,4.99,120
553,4.99,120
554,2.99,121
555,2.99,121
556,2.99,121
557,2.99,121
558,2.99,121
559,2.99,121
560,0.99,122
561,0.99,122
562,0.99,122
563,0.99,122
564,0.99,122
565,0.99,122
566,0.99,122
567,4.99,123
568,4.99,123
569,4.99,123
570,4.99,123
571,4.99,123
572,4.99,124
573,4.99,124
574,4.99,124
575,2.99,125
576,2.99,125
577,4.99,126
578,4.99,126
579,4.99,126
580,4.99,127
581,4.99,127
582,4.99,127
583,4.99,127
584,4.99,127
585,4.99,127
586,4.99,127
587,4.99,127
588,2.99,129
589,2.99,129
590,2.99,129
591,2.99,129
592,2.99,129
593,2.99,129
594,0.99,130
595,0.99,130
596,0.99,130
597,0.99,130
598,0.99,130
599,0.99,130
600,4.99,131
601,4.99,131
602,4.99,131
603,4.99,131
604,4.99,131
605,4.99,131
606,0.99,132
607,0.99,132
608,0.99,132
609,0.99,132
610,0.99,132
611,0.99,132
612,4.99,133
613,4.99,133
614,4.99,133
615,4.99,133
616,4.99,134
617,4.99,134
618,4.99,134
619,2.99,135
620,2.99,135
621,2.99,135
622,2.99,135
623,2.99,135
624,2.99,135
625,2.99,135
626,2.99,136
627,2.99,136
628,2.99,136
629,2.99,137
630,2.99,137
631,2.99,137
632,2.99,137
633,2.99,138
634,2.99,138
635,2.99,138
636,2.99,138
637,2.99,138
638,4.99,139
639,4.99,139
640,4.99,139
641,4.99,139
642,4.99,139
643,4.99,139
644,0.99,140
645,0.99,140
646,0.99,140
647,0.99,140
648,0.99,140
649,4.99,141
650,4.99,141
651,4.99,141
652,4.99,141
653,4.99,141
654,0.99,142
655,0.99,142
656,0.99,142
657,0.99,142
658,0.99,142
659,0.99,143
660,0.99,143
661,0.99,143
662,0.99,143
663,0.99,143
664,0.99,143
665,0.99,143
666,4.99,145
667,4.99,145
668,4.99,145
669,2.99,146
670,2.99,146
671,2.99,146
672,0.99,147
673,0.99,147
674,0.99,147
675,0.99,147
676,0.99,147
677,0.99,147
678,0.99,149
679,0.99,149
680,0.99,149
681,0.99,149
682,0.99,149
683,0.99,149
684,2.99,150
685,2.99,150
686,2.99,150
687,2.99,150
688,2.99,150
689,2.99,150
690,4.99,151
691,4.99,151
692,4.99,151
693,4.99,151
694,2.99,152
695,2.99,152
696,2.99,152
697,2.99,152
698,0.99,153
699,0.99,153
700,0.99,153
701,0.99,153
702,2.99,154
703,2.99,154
704,2.99,154
705,2.99,154
706,2.99,154
707,2.99,154
708,2.99,154
709,0.99,155
710,0.99,155
711,0.99,155
712,0.99,155
713,0.99,155
714,4.99,156
715,4.99,156
716,0.99,157
717,0.99,157
718,0.99,157
719,2.99,158
720,2.99,158
721,2.99,158
722,2.99,158
723,2.99,158
724,4.99,159
725,4.99,159
726,4.99,159
727,4.99,159
728,4.99,159
729,4.99,159
730,4.99,159
731,0.99,160
732,0.99,160
733,0.99,160
734,0.99,160
735,0.99,160
736,4.99,161
737,4.99,161
738,2.99,162
739,2.99,162
740,2.99,162
741,2.99,162
742,2.99,162
743,2.99,162
744,2.99,162
745,0.99,163
746,0.99,163
747,0.99,163
748,0.99,164
749,0.99,164
750,0.99,164
751,0.99,164
752,0.99,164
753,4.99,165
754,4.99,165
755,4.99,165
756,4.99,165
757,4.99,165
758,2.99,166
759,2.99,166
760,2.99,166
761,2.99,166
762,2.99,166
763,2.99,166
764,4.99,167
765,4.99,167
766,4.99,167
767,4.99,167
768,4.99,167
769,4.99,167
770,4.99,167
771,0.99,168
772,0.99,168
773,2.99,169
774,2.99,169
775,2.99,169
776,2.99,169
777,4.99,170
778,4.99,170
779,4.99,170
780,4.99,170
781,4.99,170
782,4.99,170
783,4.99,172
784,4.99,172
785,4.99,172
786,4.99,172
787,4.99,172
788,4.99,172
789,4.99,172
790,4.99,173
791,4.99,173
792,4.99,173
793,4.99,173
794,4.99,173
795,4.99,174
796,4.99,174
797,4.99,174
798,4.99,174
799,4.99,174
800,4.99,174
801,4.99,174
802,4.99,174
803,2.99,175
804,2.99,175
805,2.99,175
806,2.99,175
807,2.99,175
808,0.99,176
809,0.99,176
810,0.99,176
811,0.99,176
812,0.99,176
813,0.99,176
814,4.99,177
815,4.99,177
816,4.99,177
817,0.99,178
818,0.99,178
819,4.99,179
820,4.99,179
821,4.99,179
822,4.99,179
823,2.99,180
824,2.99,180
825,2.99,181
826,2.99,181
827,2.99,181
828,2.99,181
829,2.99,181
830,2.99,181
831,2.99,181
832,4.99,182
833,4.99,182
834,4.99,183
835,4.99,183
836,4.99,183
837,4.99,183
838,4.99,183
839,4.99,183
840,2.99,184
841,2.99,184
842,2.99,184
843,2.99,184
844,2.99,184
845,2.99,185
846,2.99,185
847,0.99,186
848,0.99,186
849,0.99,186
850,0.99,186
851,2.99,187
852,2.99,187
853,2.99,187
854,2.99,188
855,2.99,188
856,2.99,188
857,0.99,189
858,0.99,189
859,0.99,189
860,0.99,189
861,0.99,189
862,0.99,189
863,4.99,190
864,4.99,190
865,4.99,190
866,4.99,190
867,0.99,191
868,0.99,191
869,0.99,191
870,0.99,191
871,0.99,191
872,0.99,191
873,2.99,193
874,2.99,193
875,2.99,193
876,2.99,193
877,2.99,193
878,2.99,193
879,2.99,193
880,2.99,193
881,0.99,194
882,0.99,194
883,0.99,194
884,0.99,194
885,0.99,196
886,0.99,196
887,2.99,197
888,2.99,197
889,2.99,199
890,2.99,199
891,2.99,199
892,2.99,199
893,2.99,199
894,2.99,199
895,2.99,199
896,2.99,199
897,0.99,200
898,0.99,200
899,0.99,200
900,0.99,200
901,0.99,200
902,0.99,200
903,0.99,200
904,0.99,200
905,2.99,201
906,2.99,201
907,2.99,201
908,2.99,201
909,4.99,202
910,4.99,202
911,4.99,202
912,4.99,203
913,4.99,203
914,4.99,203
915,4.99,203
916,0.99,204
917,0.99,204
918,0.99,204
919,0.99,204
920,0.99,204
921,0.99,204
922,0.99,205
923,0.99,205
924,0.99,205
925,0.99,205
926,0.99,206
927,0.99,206
928,0.99,206
929,0.99,206
930,0.99,206
931,0.99,206
932,0.99,206
933,0.99,206
934,4.99,207
935,4.99,207
936,4.99,207
937,4.99,207
938,2.99,208
939,2.99,208
940,2.99,208
941,2.99,209
942,2.99,209
943,2.99,209
944,2.99,209
945,4.99,210
946,4.99,210
947,4.99,210
948,4.99,211
949,4.99,211
950,4.99,212
951,4.99,212
952,4.99,212
953,4.99,212
954,4.99,212
955,0.99,213
956,0.99,213
957,0.99,213
958,0.99,213
959,4.99,214
960,4.99,214
961,4.99,214
962,4.99,214
963,4.99,215
964,4.99,215
965,4.99,215
966,4.99,215
967,4.99,215
968,4.99,215
969,4.99,216
970,4.99,216
971,4.99,216
972,4.99,216
973,4.99,216
974,0.99,218
975,0.99,218
976,0.99,218
977,0.99,218
978,0.99,218
979,0.99,218
980,0.99,218
981,4.99,219
982,4.99,219
983,4.99,219
984,4.99,219
985,2.99,220
986,2.99,220
987,2.99,220
988,2.99,220
989,2.99,220
990,2.99,220
991,2.99,220
992,2.99,220
993,4.99,222
994,4.99,222
995,4.99,222
996,4.99,222
997,4.99,222
998,4.99,222
999,2.99,223
1000,2.99,223
